Date;Timestamp;DeviceOrientation;AccelerationX;AccelerationY;AccelerationZ;Label
2021-02-14 13:54:15;1613339655.287868;portrait;-0.0116424560546875;-0.9991455078125;-0.06683349609375;
2021-02-14 13:54:15;1613339655.2996988;portrait;-0.0116424560546875;-0.9980010986328125;-0.0659637451171875;
2021-02-14 13:54:15;1613339655.299942;portrait;-0.0129547119140625;-0.997833251953125;-0.066009521484375;
2021-02-14 13:54:15;1613339655.310793;portrait;-0.0131683349609375;-0.9988861083984375;-0.0671844482421875;
2021-02-14 13:54:15;1613339655.311024;portrait;-0.014617919921875;-0.998199462890625;-0.067535400390625;
2021-02-14 13:54:15;1613339655.311226;portrait;-0.0124359130859375;-0.9973907470703125;-0.0678863525390625;
2021-02-14 13:54:15;1613339655.3116488;portrait;-0.01239013671875;-0.9970703125;-0.067962646484375;
2021-02-14 13:54:15;1613339655.3406491;portrait;-0.011627197265625;-0.997222900390625;-0.06719970703125;
2021-02-14 13:54:15;1613339655.380557;portrait;-0.0112457275390625;-0.998748779296875;-0.0663604736328125;
2021-02-14 13:54:15;1613339655.4207969;portrait;-0.012451171875;-0.998779296875;-0.0678558349609375;
2021-02-14 13:54:15;1613339655.462442;portrait;-0.012481689453125;-0.9974212646484375;-0.0682525634765625;
2021-02-14 13:54:15;1613339655.500778;portrait;-0.012603759765625;-0.9974212646484375;-0.066650390625;
2021-02-14 13:54:15;1613339655.540878;portrait;-0.01287841796875;-0.9984130859375;-0.0662078857421875;
2021-02-14 13:54:15;1613339655.5807219;portrait;-0.012664794921875;-0.9982452392578125;-0.0656890869140625;
2021-02-14 13:54:15;1613339655.6225939;portrait;-0.01300048828125;-0.9972991943359375;-0.0668182373046875;
2021-02-14 13:54:15;1613339655.665296;portrait;-0.012542724609375;-0.9962005615234375;-0.066802978515625;
2021-02-14 13:54:15;1613339655.7014642;portrait;-0.0126800537109375;-1.001007080078125;-0.0679473876953125;
2021-02-14 13:54:15;1613339655.740858;portrait;-0.0123443603515625;-0.9981842041015625;-0.067047119140625;
2021-02-14 13:54:15;1613339655.780802;portrait;-0.0107269287109375;-0.99737548828125;-0.0669097900390625;
2021-02-14 13:54:15;1613339655.8245869;portrait;-0.0116424560546875;-0.9965972900390625;-0.0689544677734375;
2021-02-14 13:54:15;1613339655.8608742;portrait;-0.0131378173828125;-0.9986114501953125;-0.06707763671875;
2021-02-14 13:54:15;1613339655.900949;portrait;-0.013427734375;-0.9973907470703125;-0.0652008056640625;
2021-02-14 13:54:15;1613339655.9484391;portrait;-0.0087738037109375;-0.9970855712890625;-0.065216064453125;
2021-02-14 13:54:15;1613339655.9903889;portrait;-0.00250244140625;-0.997802734375;-0.0651702880859375;
2021-02-14 13:54:15;1613339656.0223088;portrait;-0.0057373046875;-0.9998931884765625;-0.0723724365234375;
2021-02-14 13:54:15;1613339656.073092;portrait;-0.012420654296875;-0.9960479736328125;-0.074066162109375;
