index;x;y;z
174;-0.002595;0.001273;-0.003174
175;-0.001069;0.001237;-0.003339
176;-0.003891;0.004443;-0.006833
177;0.000897;-0.000451;0.000344
178;-0.002830;0.002223;-0.004860
179;-0.001017;-0.000120;-0.000118
180;-0.002816;0.002298;-0.004820
181;0.000461;-0.000079;-0.000848
182;-0.001833;0.002539;-0.003782
183;-0.000704;0.000423;-0.002982
184;-0.001537;0.001777;-0.002674
185;-0.000407;0.001151;-0.002423
186;-0.001682;0.002658;-0.003507
187;-0.000302;0.001026;-0.000963
188;-0.001743;0.001115;-0.001981
189;-0.001641;0.001584;-0.001900
190;-0.001596;0.001351;-0.002943
191;-0.001243;0.000878;-0.003647
192;-0.001049;0.001456;-0.001537
193;-0.000994;0.000875;-0.002802
194;-0.001097;0.001271;-0.003227
195;-0.000665;0.000659;-0.002845
196;-0.000826;0.000796;-0.001885
197;-0.001877;0.000813;-0.001912
198;-0.000737;0.001668;-0.001211
199;-0.000983;0.001698;-0.002658
200;-0.000748;-0.000485;-0.002179
201;-0.001489;0.000247;-0.002467
202;-0.001022;0.000581;-0.002611
203;-0.001747;0.001663;-0.001371
204;-0.001555;0.001680;-0.001456
205;-0.000401;0.000732;-0.001877
206;-0.000454;0.002486;-0.002271
207;-0.000970;0.000349;-0.001392
208;-0.001453;-0.000082;-0.002112
209;-0.000436;0.001381;-0.001312
210;-0.000733;0.001365;-0.001235
211;-0.000510;0.001550;-0.001963
212;-0.000691;0.002389;-0.001721
213;-0.000977;0.001703;-0.001096
214;-0.001177;0.000879;-0.001875
215;-0.001849;0.000605;-0.002790
216;-0.000711;0.001612;-0.001141
217;-0.001380;0.001321;-0.000759
218;-0.001933;0.002113;-0.001718
219;0.018463;-0.050735;0.053765
220;-0.033884;0.063911;-0.038621
221;0.002727;-0.052209;0.046921
222;-0.009113;-0.366146;0.328704
223;0.031440;-0.127627;0.444792
224;0.010829;-0.041860;0.469825
225;-0.037468;-0.286949;0.341928
226;0.026555;-0.403232;0.109052
227;0.076565;-0.261188;-0.185765
228;0.071196;-0.255857;-0.446851
229;0.008057;-0.274416;-0.765716
230;-0.147400;-1.031283;-0.736906
231;0.067443;-1.278652;-0.621280
232;-0.120791;-1.607060;0.295003
233;0.105186;-2.008621;0.047211
234;-0.048910;-1.561383;0.929653
235;0.107334;-0.591105;1.293083
236;0.005878;-0.293973;1.048215
237;-0.014489;-0.238635;0.931039
238;-0.009963;-0.207512;0.891726
239;-0.020221;-0.180157;0.913103
240;-0.009259;-0.114375;0.956151
241;-0.004885;-0.145421;0.992818
242;-0.060468;-0.770959;1.081444
243;-0.055305;-1.623222;0.705410
244;-0.016790;-1.747628;0.253278
245;0.051649;-1.597570;-0.237766
246;0.042094;-1.431361;-0.765230
247;0.031261;-1.106958;-0.851253
248;-0.036903;-1.466076;-0.303042
249;0.111169;-1.805220;-0.262386
250;-0.150346;-1.777935;0.643845
251;0.202538;-1.326643;1.335361
252;0.062954;-0.410811;1.132918
253;0.044640;-0.265123;0.975104
254;0.043013;-0.243901;0.872366
255;0.027434;-0.230296;0.876961
256;0.031818;-0.232578;0.945860
257;0.045549;-0.175828;0.934785
258;-0.026066;-0.454082;1.009089
259;-0.117457;-1.281649;0.935217
260;0.038387;-1.666442;0.453634
261;-0.033583;-1.798011;0.101975
262;-0.030978;-1.659603;-0.611854
263;-0.009513;-1.537970;-0.809265
264;-0.103135;-1.303618;-0.636132
265;0.072317;-1.956601;0.064679
266;-0.170459;-2.082422;0.201684
267;0.038508;-1.632644;1.147529
268;0.073571;-0.751193;1.259276
269;-0.018723;-0.320493;1.043474
270;-0.022815;-0.325944;0.969219
271;-0.040973;-0.224639;0.887597
272;-0.037032;-0.148285;0.897904
273;-0.007138;-0.115379;0.975866
274;-0.027379;-0.177418;1.012081
275;-0.003991;-1.030019;1.008995
276;-0.020169;-1.623952;0.692986
277;-0.009971;-1.596770;0.231413
278;0.045904;-1.689924;-0.313861
279;-0.055475;-1.655902;-0.738299
280;-0.004911;-1.148232;-0.700830
281;0.026560;-1.750271;0.002864
282;-0.140180;-2.074426;-0.090186
283;-0.045508;-1.602638;0.859732
284;0.116306;-1.357315;1.508226
285;0.044055;-0.585668;1.101400
286;0.002964;-0.405571;0.983969
287;-0.049985;-0.276808;0.897345
288;-0.020871;-0.213271;0.843958
289;-0.013850;-0.147244;0.887846
290;-0.028214;-0.061797;0.999971
