Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Heart Rate
"2021-02-07 16:02:53.306",0.000000,0.000000,0.000000,0.031113,-0.991943,-0.107971,0.998287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:53.407",0.000000,0.000000,0.000000,0.032486,-0.989517,-0.108475,0.995975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:53.507",0.000000,0.000000,0.000000,0.032486,-0.989014,-0.108322,0.995458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:53.606",0.000000,0.000000,0.000000,0.032059,-0.991058,-0.109116,0.997562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:53.707",0.000000,0.000000,0.000000,0.030518,-0.990768,-0.108505,0.997159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:53.806",0.000000,0.000000,0.000000,0.032562,-0.990829,-0.109238,0.997365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:53.907",0.000000,0.000000,0.000000,0.031265,-0.988647,-0.108536,0.995079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.006",0.000000,0.000000,0.000000,0.033188,-0.991272,-0.108749,0.997772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.106",0.000000,0.000000,0.000000,0.032272,-0.990860,-0.110413,0.997515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.206",0.000000,0.000000,0.000000,0.032303,-0.991547,-0.108688,0.998009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.306",0.000000,0.000000,0.000000,0.032700,-0.991287,-0.108383,0.997731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.407",0.000000,0.000000,0.000000,0.033218,-0.991226,-0.108322,0.997681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.507",0.000000,0.000000,0.000000,0.032135,-0.991135,-0.109360,0.997667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.606",0.000000,0.000000,0.000000,0.031860,-0.991287,-0.108795,0.997748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.707",0.000000,0.000000,0.000000,0.032257,-0.991470,-0.108398,0.997900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.807",0.000000,0.000000,0.000000,0.032578,-0.992126,-0.109344,0.998665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:54.907",0.000000,0.000000,0.000000,0.032654,-0.991959,-0.108246,0.998381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.006",0.000000,0.000000,0.000000,0.032516,-0.991058,-0.109543,0.997624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.107",0.000000,0.000000,0.000000,0.032211,-0.991501,-0.109009,0.997995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.207",0.000000,0.000000,0.000000,0.031113,-0.992126,-0.108810,0.998560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.307",0.000000,0.000000,0.000000,0.031967,-0.990936,-0.108597,0.997382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.407",0.000000,0.000000,0.000000,0.032043,-0.991669,-0.109329,0.998192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.507",0.000000,0.000000,0.000000,0.031326,-0.992737,-0.108871,0.999180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.607",0.000000,0.000000,0.000000,0.034592,-0.991837,-0.107361,0.998230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.707",0.000000,0.000000,0.000000,0.030182,-0.990982,-0.108780,0.997391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.807",0.000000,0.000000,0.000000,0.032684,-0.991425,-0.109390,0.997977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:55.907",0.000000,0.000000,0.000000,0.040237,-0.993500,-0.078598,0.997416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.007",0.000000,0.000000,0.000000,0.062485,-0.993118,-0.128891,1.003395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.107",0.000000,0.000000,0.000000,0.004547,-1.017670,-0.092896,1.021911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.207",0.000000,0.000000,0.000000,0.114426,-1.163849,-0.005783,1.169475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.307",0.000000,0.000000,0.000000,0.119919,-1.483185,-0.133224,1.493977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.407",0.000000,0.000000,0.000000,-0.004578,-1.263412,-0.046097,1.264261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.507",0.000000,0.000000,0.000000,-0.036804,-1.001526,-0.067917,1.004501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.607",0.000000,0.000000,0.000000,-0.066040,-0.880768,0.109818,0.890041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.707",0.000000,0.000000,0.000000,0.081711,-0.891449,0.217407,0.921208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.807",0.000000,0.000000,0.000000,0.068451,-0.771133,0.168747,0.792343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:56.907",0.000000,0.000000,0.000000,-0.097504,-0.917694,-0.021530,0.923110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.007",0.000000,0.000000,0.000000,0.071060,-1.594986,0.311523,1.626677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.107",0.000000,0.000000,0.000000,-0.002151,-1.908783,0.200851,1.919322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.207",0.000000,0.000000,0.000000,0.214386,-1.486374,-0.111450,1.505885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.307",0.000000,0.000000,0.000000,-0.036316,-2.084320,0.333862,2.111202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.407",0.000000,0.000000,0.000000,0.120132,-0.805756,0.280396,0.861566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.507",0.000000,0.000000,0.000000,-0.077026,-0.435928,0.138168,0.463742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.607",0.000000,0.000000,0.000000,0.013809,0.133408,0.006744,0.134290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.707",0.000000,0.000000,0.000000,0.006256,0.189163,0.009369,0.189498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.807",0.000000,0.000000,0.000000,0.039032,0.045502,0.013260,0.061398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:57.907",0.000000,0.000000,0.000000,0.042725,-0.187424,0.017700,0.193045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.007",0.000000,0.000000,0.000000,-0.118820,-0.888916,0.038086,0.897630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.107",0.000000,0.000000,0.000000,0.109131,-1.838272,-0.061081,1.842521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.207",0.000000,0.000000,0.000000,0.105225,-2.293472,0.336090,2.320354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
